Name,WHIP,ERA-,FIP-
A.J. Burnett,1.25,86,82
Aaron Cook,1.41,89,95
Aaron Harang,1.31,96,91
Aaron Sele,1.47,95,91
Al Downing,1.26,93,101
Al Jackson,1.33,107,102
Andy Ashby,1.28,92,95
Andy Benes,1.31,94,92
Andy Hawkins,1.4,115,116
Andy Messersmith,1.14,82,90
Andy Pettitte,1.39,86,80
Barry Zito,1.35,94,103
Bartolo Colon,1.32,84,90
Bill Bonham,1.46,107,92
Bill Gullickson,1.28,101,108
Bill Hands,1.22,88,90
Bill Lee,1.35,90,101
Bill Monbouquette,1.21,101,93
Bill Singer,1.22,99,92
Bill Stoneman,1.45,111,106
Bob Forsch,1.26,96,103
Bob Knepper,1.33,108,107
Bob Ojeda,1.26,93,93
Bob Veale,1.3,87,81
Bob Welch,1.2,88,91
Bobby Bolin,1.22,98,109
Bobby Jones,1.35,108,106
Bobby Witt,1.51,110,96
Brad Penny,1.33,95,91
Brad Radke,1.26,87,89
Brandon Webb,1.25,73,78
Bret Saberhagen,1.09,75,77
Brett Tomko,1.37,110,105
Brian Anderson,1.29,98,109
Bronson Arroyo,1.32,91,96
Bruce Hurst,1.33,90,92
Burt Hooton,1.14,83,89
Camilo Pascual,1.21,82,81
Carl Morton,1.39,97,101
Carlos Silva,1.39,110,106
Catfish Hunter,1.06,85,100
CC Sabathia,1.15,71,74
Chan Ho Park,1.4,99,101
Charles Nagy,1.36,87,89
Charlie Leibrandt,1.31,85,93
Chris Bosio,1.23,87,90
Chris Carpenter,1.27,87,91
Chris Short,1.17,86,90
Chuck Finley,1.34,83,93
Claude Osteen,1.22,96,98
Cliff Lee,1.26,88,87
Clyde Wright,1.21,100,110
Craig Swan,1.23,96,97
Dan Haren,1.16,80,82
Danny Darwin,1.27,94,96
Danny Jackson,1.38,101,95
Darren Oliver,1.56,107,106
Darryl Kile,1.43,98,98
Dave Goltz,1.32,91,90
Dave McNally,1.15,88,97
Dave Roberts,1.29,100,95
Dave Stieb,1.22,79,94
David Cone,1.17,81,81
Dean Chance,1.2,89,84
Dennis Eckersley,1.24,101,93
Dennis Leonard,1.22,91,92
Dennis Rasmussen,1.32,108,110
Denny Lemaster,1.3,105,102
Denny Neagle,1.24,87,94
Dick Bosman,1.25,101,101
Dick Drago,1.31,100,95
Dick Ruthven,1.34,106,97
Doc Medich,1.32,101,97
Dock Ellis,1.26,89,91
Don Cardwell,1.24,101,106
Don Drysdale,1.1,84,90
Don Wilson,1.19,84,97
Doug Davis,1.46,92,94
Doug Drabek,1.15,84,93
Doug Rau,1.3,93,96
Doyle Alexander,1.34,103,108
Dwight Gooden,1.31,102,86
Earl Wilson,1.33,101,101
Ed Figueroa,1.31,91,98
Eric Show,1.29,96,113
Erik Hanson,1.35,94,82
Esteban Loaiza,1.39,97,92
Fernando Valenzuela,1.41,108,104
Floyd Bannister,1.3,96,92
Frank Tanana,1.29,97,98
Frank Viola,1.25,86,88
Freddy Garcia,1.29,96,95
Fritz Peterson,1.15,94,90
Gary Peters,1.14,82,87
Gil Meche,1.44,103,103
Greg Swindell,1.3,101,95
Hideo Nomo,1.31,96,92
J.R. Richard,1.22,89,82
Jack Billingham,1.26,98,93
Jack Fisher,1.32,118,109
Jack Kralick,1.27,92,90
Jack McDowell,1.29,87,86
Jack Morris,1.24,89,93
Jaime Navarro,1.43,107,100
James Baldwin,1.44,107,107
Jarrod Washburn,1.28,89,102
Jason Johnson,1.45,108,105
Jason Marquis,1.42,104,112
Jason Schmidt,1.25,84,82
Javier Vazquez,1.23,94,86
Jeff Suppan,1.4,96,106
Jeff Weaver,1.36,111,101
Jerry Koosman,1.19,84,90
Jerry Reuss,1.3,93,92
Jim Barr,1.29,95,100
Jim Bunning,1.2,85,83
Jim Clancy,1.33,97,98
Jim Colborn,1.28,100,104
Jim Deshaies,1.25,102,113
Jim Kaat,1.21,87,86
Jim Lonborg,1.32,108,101
Jim Maloney,1.26,88,88
Jim O'Toole,1.24,93,88
Jim Perry,1.3,95,103
Jim Slaton,1.39,103,107
Jimmy Haynes,1.61,115,109
Jimmy Key,1.19,84,88
Joaquin Andujar,1.2,96,98
Joe Coleman,1.39,107,104
Joe Horlen,1.13,79,95
Joel Pineiro,1.37,113,101
Joey Jay,1.32,103,102
Johan Santana,1.06,67,79
John Burkett,1.29,103,94
John Candelaria,1.21,89,90
John Denny,1.28,92,96
John Lackey,1.3,86,86
John Montefusco,1.28,96,92
John Smiley,1.22,94,88
John Tudor,1.22,83,94
Jon Garland,1.34,93,101
Jon Lieber,1.28,99,89
Jon Matlack,1.23,91,85
Jose DeLeon,1.25,96,94
Jose Lima,1.33,109,110
Jose Rijo,1.16,70,73
Josh Beckett,1.24,92,89
Josh Fogg,1.48,116,116
Juan Guzman,1.38,92,89
Ken Hill,1.33,86,97
Ken Holtzman,1.25,95,96
Kevin Appier,1.27,78,78
Kevin Brown,1.29,83,85
Kevin Gross,1.37,110,106
Kevin Millwood,1.28,92,87
Kevin Tapani,1.28,95,86
Kirk McCaskill,1.35,95,95
Kirk Rueter,1.37,99,110
Kris Benson,1.38,101,103
Kyle Lohse,1.47,112,105
La Marr Hoyt,1.2,104,96
Livan Hernandez,1.38,97,97
Luis Tiant,1.16,80,90
Mario Soto,1.17,91,96
Mark Buehrle,1.3,85,91
Mark Clark,1.36,102,98
Mark Gubicza,1.34,93,82
Mark Langston,1.3,89,87
Marty Pattin,1.27,107,99
Matt Clement,1.38,104,97
Matt Morris,1.28,95,91
Mel Stottlemyre,1.21,90,100
Mickey Lolich,1.2,94,85
Mike Boddicker,1.29,90,93
Mike Caldwell,1.27,91,99
Mike Flanagan,1.28,97,92
Mike Hampton,1.47,90,98
Mike Krukow,1.41,101,95
Mike McCormick,1.24,105,112
Mike Moore,1.31,92,92
Mike Morgan,1.33,100,97
Mike Mussina,1.19,77,77
Mike Scott,1.25,104,94
Mike Torrez,1.38,94,105
Mike Witt,1.29,98,89
Milt Pappas,1.18,92,92
Mudcat Grant,1.28,101,108
Nate Robertson,1.45,108,106
Nelson Briles,1.25,99,98
Odalis Perez,1.31,102,96
Oil Can Boyd,1.29,99,105
